ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
BMA,Byggma,Industrials,92.0,90.0,93.5,1,,642.47,0.0222,-0.0108,0.0279,0.36719999999999997,0.36719999999999997
CARA,Carasent,Health care,9.76,9.5,9.76,35,,396.59,0.018799999999999997,-0.0181,-0.0121,3.4852999999999996,3.4852999999999996
COV,ContextVision,Health care,104.0,102.0,104.0,24,LP,804.62,-0.0095,0.0097,0.1366,0.8841,0.8841
CRAYON,Crayon Group Holding,Information technology,52.0,51.8,52.0,180,,3920.03,0.0,0.0,0.0236,2.2459000000000002,2.2459000000000002
DAT,Data Respons,Information technology,47.9,47.7,47.9,84,,3616.95,0.0042,0.0063,0.157,1.2038,1.2038
DNB,DNB,Financials,164.0,164.0,164.2,1922,,257591.91,0.0060999999999999995,0.0024,0.0594,0.2493,0.2493
DNO,DNO,Energy,11.57,11.57,11.58,2023,,11446.36,0.0158,0.016200000000000003,0.10400000000000001,-0.053399999999999996,-0.053399999999999996
DOF,DOF,Energy,1.57,1.56,1.57,248,,483.19,-0.048499999999999995,-0.1278,0.163,-0.5094,-0.5094
EAM,EAM Solar,Utilities,11.7,11.5,11.7,41,,80.17,0.0218,0.0174,-0.0965,-0.6389,-0.6389
EIOF,Eidesvik Offshore,Energy,5.24,4.86,5.5,13,,325.67,0.0038,0.08259999999999999,-0.0113,0.1441,0.1441
EMGS,Electromagnetic Geoservices,Energy,2.09,2.1,2.15,49,,273.73,-0.0279,0.1297,0.1484,0.6077,0.6077
ELE,Element,Materials,5.53,5.53,5.58,177,,102.73,-0.0706,-0.0506,0.2022,-0.5539999999999999,-0.5539999999999999
ELK,Elkem,Materials,24.76,24.74,24.76,1570,,14393.24,0.0098,0.0317,0.1624,0.20350000000000001,0.20350000000000001
EMAS,EMAS Offshore,Energy,0.29,,,0,,127.15,,,,,
ENDUR,EndÃºr,Energy,1.17,1.16,1.19,24,LP,247.73,-0.025099999999999997,-0.0127,-0.0791,-0.0528,-0.0528
ENTRA,Entra,Real estate,145.0,145.0,145.6,716,,26393.60,0.0097,0.0,0.035699999999999996,0.30329999999999996,0.30329999999999996
EPIC-ME,Epic Gas,Energy,14.6,14.1,14.6,3,LP,1556.60,,0.0,-0.0331,0.6977,0.6977
EQNR,Equinor,Energy,175.5,175.5,175.6,4419,,580029.10,-0.0045000000000000005,-0.0076,0.0336,0.006,0.006
EPR,Europris,Consumer discretionary,34.5,34.4,34.5,611,,5720.74,-0.0109,0.0141,0.0728,0.6012,0.6012
FJORD,Fjord1,Industrials,36.6,36.3,36.6,68,,3656.09,0.0195,0.031,0.051699999999999996,-0.0907,-0.0907
FKRAFT,Fjordkraft Holding,Utilities,58.0,58.0,58.3,246,,6060.78,0.012199999999999999,0.032,0.1373,0.804,0.804
FLNG,FLEX LNG,Energy,90.9,90.8,91.3,1072,,4918.65,-0.024700000000000003,-0.0521,0.0516,-0.25579999999999997,-0.25579999999999997
FRO,Frontline,Energy,110.9,110.8,110.9,2649,,21835.58,0.011899999999999999,-0.0027,0.1033,1.2925,1.2925
FUNCOM,Funcom,Communication services,13.15,13.1,13.15,273,,1016.32,-0.0015,0.0038,0.07429999999999999,0.105,0.105
GIG,Gaming Innovation Group,Consumer discretionary,8.19,7.85,8.14,254,,731.28,0.023700000000000002,0.056799999999999996,0.2898,-0.6424,-0.6424
RISH,GC Rieber Shipping,Industrials,8.2,8.2,8.25,20,,705.47,0.025,-0.052000000000000005,-0.1503,0.1714,0.1714
GENT-ME,Gentian Diagnostics,Health care,62.4,61.2,62.4,19,,961.13,-0.025,0.0097,0.2505,0.15560000000000002,0.15560000000000002
GJF,Gjensidige Forsikring,Financials,184.25,184.15,184.25,1100,,92121.59,-0.0034999999999999996,-0.0032,0.0623,0.4268,0.4268
GEOS-ME,Golden Energy Offshore Services,Energy,3.6,3.06,4.0,12,,127.50,-0.214,-0.1,-0.21739999999999998,,
GOGL,Golden Ocean Group,Industrials,50.95,50.95,51.0,595,,7300.00,-0.0126,-0.0078000000000000005,-0.0354,0.0322,0.0322
GOD,Goodtech,Industrials,6.85,6.85,7.05,7,LP,154.91,-0.021400000000000002,-0.021400000000000002,-0.021400000000000002,0.7839,0.7839
GSF,Grieg Seafood,Consumer staples,140.3,140.0,140.3,699,,15493.83,-0.0141,-0.012,-0.0028000000000000004,0.4152,0.4152
GRONG-ME,Grong Sparebank,Equity certificates,108.0,107.0,108.0,0,LP,321.03,,,,0.0891,0.0891
GYL,Gyldendal,Consumer discretionary,450.0,422.0,450.0,3,,1038.21,-0.0132,0.04650000000000001,,,
HAFNIA,Hafnia Limited,Energy,27.3,27.1,27.3,61,,10107.67,0.0037,0.0037,0.0581,,
HAVI,Havila Shipping,Energy,2.97,3.0,3.03,30,,70.62,-0.01,-0.0166,-0.0719,-0.1366,-0.1366
HYARD,Havyard Group,Industrials,3.18,2.94,3.16,30,,78.63,-0.0155,0.0,0.3475,-0.6755,-0.6755
HELG,Helgeland Sparebank,Equity certificates,84.0,82.0,84.0,14,LP,1749.13,0.024399999999999998,0.024399999999999998,0.05,0.235,0.235
HEX,Hexagon Composites,Industrials,36.35,36.35,36.45,833,,6590.83,-0.0281,0.0125,0.1099,0.4867,0.4867
HIDDN,Hiddn Solutions,Information technology,1.66,1.66,1.7,137,,26.69,0.024700000000000003,0.0641,0.4955,-0.8972,-0.8972
HBC,Hofseth BioCare,Health care,9.0,8.96,9.0,104,,2932.34,-0.0022,-0.0175,-0.12619999999999998,2.75,2.75
HUNT,Hunter Group,Energy,5.48,5.48,5.49,492,,3152.98,0.0129,0.0359,0.1264,0.6887000000000001,0.6887000000000001
HLNG,HÃ¶egh LNG Holdings,Energy,33.5,33.45,33.5,77,,2552.03,-0.0074,0.0182,0.0045000000000000005,-0.09380000000000001,-0.09380000000000001
HSPG,HÃ¸land og Setskog Sparebank,Equity certificates,117.0,112.0,117.0,0,,80.48,,,,0.35100000000000003,0.35100000000000003
ICE,Ice Group,Communication services,19.6,19.5,19.6,23,LP,3953.20,0.0,0.0051,-0.043899999999999995,,
