,ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
219,SBLK,Star Bulk Carriers,Industrials,59.0,57.2,60.0,10,,5350.50,0.0,-0.0665,-0.0605,-0.4399,-0.3502
220,SNI,Stolt-Nielsen,Industrials,82.5,82.1,82.5,73,,4415.71,-0.0108,-0.0582,0.0417,-0.2763,-0.1805
221,STB,Storebrand,Financials,54.64,54.6,54.64,3896,,25538.20,0.036000000000000004,0.0329,0.0659,-0.20829999999999999,-0.1201
222,STORM,Storm Real Estate,Real estate,3.5,3.12,3.5,17,,30.92,-0.0169,-0.0437,-0.0789,0.0294,-0.4017
223,STRONG,StrongPoint,Information technology,13.25,13.2,13.25,68,LP,586.54,0.015300000000000001,0.015300000000000001,-0.0038,0.1042,0.3119
224,SUBC,Subsea 7,Energy,63.82,63.82,63.92,2252,,18968.30,0.021400000000000002,-0.0068000000000000005,-0.0446,-0.39189999999999997,-0.3448
225,SUNSB-ME,Sunndal Sparebank,Equity certificates,110.0,109.0,110.0,3,LP,148.74,,0.0,0.0,0.0294,0.10640000000000001
226,SUSB-ME,Surnadal Sparebank,Equity certificates,106.0,106.0,107.0,2,LP,212.99,,0.0,-0.009300000000000001,0.0078000000000000005,0.0529
227,TRVX,Targovax,Health care,6.54,6.35,6.54,108,,497.61,0.0015,-0.067,-0.0815,-0.2534,-0.034
228,TEAM,Team Tankers International,Industrials,3.2,3.2,3.5,26,,648.48,-0.047599999999999996,-0.2,-0.3103,-0.40740000000000004,-0.4182
229,TECH,Techstep,Information technology,2.5,2.5,2.66,40,,406.98,-0.0385,-0.10710000000000001,-0.16670000000000001,-0.2625,-0.4048
230,TEL,Telenor,Communication services,142.95,142.5,142.95,3109,,200052.53,0.0092,0.029900000000000003,-0.047,-0.06480000000000001,-0.16920000000000002
231,TGS,TGS-NOPEC Geophysical Company,Energy,139.95,139.95,140.1,1284,,16361.18,0.0321,-0.026099999999999998,-0.08349999999999999,-0.46299999999999997,-0.40759999999999996
232,THIN,Thin Film Electronics,Information technology,0.38,0.38,0.38,630,,135.04,-0.0732,-0.025099999999999997,-0.49329999999999996,-0.6966,-0.7172
233,TIETOO,TietoEVRY,Information technology,263.8,263.8,265.0,19,,31236.28,0.018500000000000003,0.0177,0.0233,-0.049699999999999994,
234,TOM,Tomra Systems,Industrials,355.4,355.3,355.4,2197,,52464.11,0.0074,0.032799999999999996,0.045899999999999996,0.2766,0.3018
235,TOTG,Totens Sparebank,Equity certificates,142.0,139.0,142.0,4,LP,869.68,0.0216,-0.006999999999999999,-0.006999999999999999,0.0788,0.19010000000000002
236,TRE,Treasure,Industrials,10.6,10.45,10.7,7,,2277.25,0.0095,-0.0364,-0.057800000000000004,-0.19140000000000001,-0.20879999999999999
237,TYSB-ME,Tysnes Sparebank,Equity certificates,111.0,111.0,116.0,1,LP,168.40,,-0.0177,0.0278,-0.0519,0.051500000000000004
238,ULTIMO,Ultimovacs,Health care,41.5,41.4,41.9,37,,1326.90,0.012199999999999999,0.0,-0.0859,0.0587,0.3175
239,VEI,Veidekke,Industrials,122.0,121.4,122.2,252,,16464.66,0.0049,-0.0161,0.2079,0.0209,0.4788
240,VISTIN,Vistin Pharma,Health care,13.3,13.2,13.3,235,,589.78,0.0391,0.10830000000000001,0.0902,0.3881,1.0923
241,VVL,Voss Veksel- og Landmandsbank,Financials,155.0,153.0,155.0,12,LP,341.60,0.006500000000000001,,0.054400000000000004,-0.0064,-0.0483
242,VOW,Vow,Industrials,22.65,22.65,22.95,228,,2413.66,-0.0022,0.011200000000000002,-0.0958,-0.245,0.1984
243,WALWIL,Wallenius Wilhelmsen,Industrials,12.98,12.98,13.08,272,,5481.52,0.0253,-0.0385,-0.0885,-0.40509999999999996,-0.49219999999999997
244,WSTEP,Webstep,Information technology,18.6,18.6,18.8,8,,496.12,0.0109,0.0054,0.022000000000000002,-0.2314,-0.2791
245,WWI,Wilh. Wilhelmsen Holding ser. A,Industrials,116.5,116.5,120.0,12,,3961.00,-0.0127,-0.021,0.044800000000000006,-0.2797,-0.1461
246,WWIB,Wilh. Wilhelmsen Holding ser. B,Industrials,116.5,116.5,118.5,10,,1232.57,0.0175,-0.0043,0.0737,-0.2798,-0.1405
